country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Egypt, Arab Rep.",37.18000031,45.43000031,45.63000107,48.27999878,75.51000214,51.38000107,55.56000137,56.93999863,53.68000031,58.04999924,61.93999863,54.70999908,47.50999832,48.40999985,50.58000183,47.24000168,48.77000046,,,51.47000122,56.91999817,52.11000061,51.75999832,,
Euro area,73.3256017,74.96429041,75.67696796,76.24395579,76.92324191,77.15869682,77.50774552,78.17406106,78.59830235,79.04395358,79.42788573,80.44237132,81.16889296,81.81299967,82.34904581,82.7546356,83.63487082,84.31965549,84.68346124,84.84316257,85.11236129,85.34786606,85.54833272,85.70642826,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,75.38999939,76.80000305,78.15000153,78.87999725,80.23000336,80.45999908,80.88999939,81.40000153,80.73999786,81.08999634,81.66999817,82.75,83.51999664,84.04000092,85.08000183,85.43000031,86.19999695,87.45999908,87.98000336,88.68000031,88.51000214,89.26000214,89.30000305,89.19999695,86.09999847
Estonia,56.93000031,61.20999908,63.68999863,65.73000336,67.44000244,67.73000336,69.66000366,70.62999725,72.87000275,71.69000244,73.19999695,73.56999969,71.59999847,72.51999664,75.08999634,75.01000214,75.40000153,77.91999817,79.16000366,78.38999939,79.76000214,80.54000092,80.13999939,79.84999847,
Ethiopia,,,,,,,,,,,,,76.33000183,16.13999939,77.01000214,,,73.06999969,73.30999756,74.40000153,76.94999695,27.35000038,75.16999817,,
European Union,72.52750876,73.44025345,72.40903913,72.79877728,73.45511694,75.12164223,75.50652289,76.15842376,75.52600653,75.98319612,77.06594933,78.10101704,78.95136861,79.61343885,80.1364839,80.4668475,81.19656488,82.23351263,82.71035598,82.8585422,83.08482347,83.41529657,83.54253904,83.8938514,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,78.37000275,79.16999817,79.51999664,79.75,79.40000153,80.41999817,80.04000092,81.15000153,81.62999725,82.16999817,82.38999939,83.31999969,84.34999847,84.51999664,85.01000214,85.73000336,86.48999786,86.86000061,86.86000061,87.84999847,88.18000031,88.25,88.62999725,88.68000031,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,
