country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Azerbaijan,69.55200195,69.81999969,71.10199738,71.97299957,72.3259964,72.35399628,72.33799744,72.25700378,72.08599854,71.86699677,70.91600037,69.93699646,68.97599792,68.04499817,67.16200256,66.33699799,65.49099731,64.69999695,67.61599731,68.15299988,67.38800049,67.25099945,67.56199646,67.89199829,67.97100067,68.32099915,68.59200287,68.78500366
Burundi,90.45600128,89.96299744,89.38600159,88.72699738,87.99500275,87.19499969,86.44200134,85.61799622,84.72399902,84.36499786,83.89800262,83.45200348,82.97299957,82.49700165,82.09300232,81.78900146,81.58000183,81.45500183,81.41999817,81.47899628,81.6289978,81.8259964,82.0719986,82.33599854,82.57499695,82.66200256,82.69999695,82.70400238
Belgium,61.07099915,61.32500076,60.99399948,60.43099976,61.02799988,61.12099838,60.86899948,60.5530014,60.49100113,61.14300156,61.39899826,60.35499954,60.63600159,60.30099869,60.74499893,61.44400024,60.91400146,61.2120018,60.88000107,60.38299942,60.77399826,59.63199997,59.66799927,59.65000153,59.31700134,59.25600052,59.08300018,58.92100143
Benin,89.51899719,89.44599915,89.31900024,88.51399994,87.67299652,86.79299927,85.8239975,84.79699707,83.71199799,82.56999969,81.37400055,80.14199829,78.87599945,78.27400208,77.65599823,77.02999878,76.35600281,75.68099976,75.01300049,74.35900116,73.72399902,73.64099884,73.55999756,73.47399902,73.375,73.39800262,73.41699982,73.43499756
Burkina Faso,91.10900116,90.82299805,90.81900024,90.80999756,90.79000092,90.77999878,90.78800201,90.78600311,90.78800201,90.79599762,90.80400085,90.83100128,90.86299896,90.90200043,90.93199921,90.96199799,90.98200226,90.99099731,90.99299622,90.97899628,90.95899963,90.92299652,90.8809967,90.8219986,90.75,90.66200256,90.5739975,90.48400116
Bangladesh,88.69599915,88.46299744,88.27799988,88.05699921,87.80599976,87.52799988,87.18000031,86.93199921,86.65799713,86.35900116,86.03199768,85.63600159,85.25,84.8690033,84.49299622,84.12200165,83.76799774,83.41799927,83.06600189,82.70500183,82.33000183,81.99500275,81.66000366,81.30599976,80.90899658,80.98100281,81.05000305,81.11799622
Bulgaria,62.80500031,61.90499878,61.05400085,60.32600021,59.62099838,58.94499969,58.31100082,57.70600128,57.14799881,56.54600143,55.88100052,56.77799988,56.20299911,55.89699936,56.66199875,56.3429985,58.09799957,59.8429985,61.86100006,61.03300095,59.52999878,58.25500107,58.70899963,59.56999969,60.04600143,60.14500046,60.12400055,60.09899902
Bahrain,87.85199738,87.4469986,87.19000244,87.15699768,87.28800201,87.47000122,86.84500122,86.38300323,86.17900085,86.22000122,86.3789978,85.46800232,84.47299957,83.91500092,83.63700104,84.48100281,84.49900055,84.83699799,85.44100189,86.21499634,86.96099854,86.30899811,85.73899841,85.34999847,85.23799896,85.38700104,85.04599762,84.90100098
"Bahamas, The",79.43199921,80.30699921,81.13200378,81.8769989,82.47200012,81.1269989,79.30200195,76.8809967,73.8710022,74.53199768,75.15200043,75.80999756,76.43399811,76.96700287,77.40299988,77.79000092,78.23400116,78.64700317,78.99700165,79.28399658,79.2440033,79.17299652,79.13600159,79.15499878,79.14299774,79.13700104,79.11000061,79.09100342
Bosnia and Herzegovina,57.8730011,57.0719986,56.57500076,56.43799973,56.39099884,57.36199951,59.20999908,59.38000107,59.21900177,58.98699951,58.73199844,58.49100113,58.26699829,58.06499863,57.89599991,58.33200073,58.01200104,59.89699936,60.52999878,59.67699814,59.55899811,58.60800171,59.44900131,58.57300186,58.23899841,58.02299881,57.7840004,57.54700089
