country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cameroon,177.682,174.6712,171.6604,168.6496,165.6388,162.628,160.3304,158.0328,155.7352,153.4376,151.14,147.0562,142.9724,138.8886,134.8048,130.721,127.7446,124.7682,121.7918,118.8154,115.839,111.346,106.853,102.36
"Congo,Dem.Rep.",133.322,132.6888,132.0556,131.4224,130.7892,130.156,130.271,130.386,130.501,130.616,130.731,130.607,130.483,130.359,130.235,130.111,128.9472,127.7834,126.6196,125.4558,124.292,123.6202,122.9484,122.2766
"Congo,Rep.",130.487,131.019,131.551,132.083,132.615,133.147,133.9556,134.7642,135.5728,136.3814,137.19,135.5878,133.9856,132.3834,130.7812,129.179,128.4348,127.6906,126.9464,126.2022,125.458,122.346,119.234,116.122
Colombia,82.702,82.8194,82.9368,83.0542,83.1716,83.289,83.895,84.501,85.107,85.713,86.319,81.7922,77.2654,72.7386,68.2118,63.685,62.4794,61.2738,60.0682,58.8626,57.657,54.6654,51.6738,48.6822
Comoros,108.201,106.349,104.497,102.645,100.793,98.941,97.5918,96.2426,94.8934,93.5442,92.195,89.6594,87.1238,84.5882,82.0526,79.517,78.5028,77.4886,76.4744,75.4602,74.446,71.9988,69.5516,67.1044
CaboVerde,108.971,108.3342,107.6974,107.0606,106.4238,105.787,103.3306,100.8742,98.4178,95.9614,93.505,91.9314,90.3578,88.7842,87.2106,85.637,83.4398,81.2426,79.0454,76.8482,74.651,74.1528,73.6546,73.1564
CostaRica,91.753,90.0372,88.3214,86.6056,84.8898,83.174,80.4972,77.8204,75.1436,72.4668,69.79,68.73,67.67,66.61,65.55,64.49,63.4048,62.3196,61.2344,60.1492,59.064,58.0514,57.0388,56.0262
Caribbeansmallstates,87.64396145,85.83553971,83.98374151,82.05435603,79.95767141,77.74737619,75.7677505,73.77270857,71.835018,70.07773452,68.39321899,67.25338504,66.2010417,65.26929696,64.48626869,63.77438065,63.04758394,62.24974889,61.36074015,60.5176661,59.60307829,58.40963006,57.16005154,55.85366901
Cuba,69.204,69.242,69.28,69.318,69.356,69.394,65.6336,61.8732,58.1128,54.3524,50.592,50.3258,50.0596,49.7934,49.5272,49.261,49.0654,48.8698,48.6742,48.4786,48.283,47.2252,46.1674,45.1096
Curacao,51.528,49.927,48.326,46.725,45.124,43.523,42.1554,40.7878,39.4202,38.0526,36.685,36.1642,35.6434,35.1226,34.6018,34.081,34.3628,34.6446,34.9264,35.2082,35.49,34.9932,34.4964,33.9996
CaymanIslands,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,24.332,22.0764,19.8208,17.5652,15.3096,13.054,11.8884,10.7228,9.5572,8.3916,7.226,7.0912,6.9564,6.8216,6.6868,6.552,6.3362,6.1204,5.9046,5.6888,5.473,5.2794,5.0858,4.8922
CzechRepublic,41.089,36.184,31.279,26.374,21.469,16.564,15.5232,14.4824,13.4416,12.4008,11.36,11.3114,11.2628,11.2142,11.1656,11.117,11.0988,11.0806,11.0624,11.0442,11.026,10.5782,10.1304,9.6826
Germany,15.908,15.3492,14.7904,14.2316,13.6728,13.114,12.9652,12.8164,12.6676,12.5188,12.37,11.8502,11.3304,10.8106,10.2908,9.771,9.422,9.073,8.724,8.375,8.026,7.4932,6.9604,6.4276
Djibouti,45.466,43.6466,41.8272,40.0078,38.1884,36.369,35.279,34.189,33.099,32.009,30.919,30.0114,29.1038,28.1962,27.2886,26.381,25.7274,25.0738,24.4202,23.7666,23.113,22.4692,21.8254,21.1816
Dominica,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,8.901,8.7222,8.5434,8.3646,8.1858,8.007,7.7292,7.4514,7.1736,6.8958,6.618,6.4682,6.3184,6.1686,6.0188,5.869,5.5824,5.2958,5.0092,4.7226,4.436,4.2776,4.1192,3.9608
