country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Finland,100,100,,,,99.94606781,100,100,99.67102814,99.97371674,99.67993927,100,99.94577026,100,100,99.96186829,100,100,99.93702698,99.73407745,100,99.84194183,100,
Fiji,,,,,,,,100,96.57214355,100,,98.62890625,,,,100,97.11196136,,,97.28865814,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,
FaroeIslands,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia,Fed.Sts.",,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,
UnitedKingdom,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,99.25234985,98.48860931,95.73648834,97.36477661,,96.11100006,,,99.68351746,99.14788818,99.852211,,97.98874664,100,99.71336365,100,
Ghana,,,,,,,,97.30039978,85.88516998,97.70343781,90.21124268,88.63548279,100,97.87291718,,100,97.42980194,,,93.75234985,78.55738068,89.0112915,98.5597229,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,78.60726166,76.39923096,,,,,,77.81130219,78.27980804,,69.00885773,75.27955627,77.62088013,82.79814911,75.48155212,,52.71884918,70.01600647,,46.59465027,47.42420959,62.43597031,,
"Gambia,The",,,,,,,85.26065826,65.900383,69.24687958,67.56330872,92.20906067,91.80069733,88.04651642,92.65384674,96.13314819,85.32285309,,,86.99358368,91.8645401,93.96523285,94.92243195,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,,,,,,,,,,,,,,,,,,,95.8137207,92.34311676,,,,
Greece,,,,,,,,,,,,,100,98.51918793,94.10826874,,,,96.94628143,96.73970032,98.02278137,97.70018005,,
Grenada,,,,,,,,,,,,,,,,,91.81073761,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,95.18643188,93.97619629,94.95854187,,,91.37365723,91.29663086,91.18250275,90.87586975,97.3684082,93.19920349,86.23007202,81.63388824,86.99301147,80.70883942,79.89038849,
Guam,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,92.5021286,,,96.40258789,95.20809174,,,72.24685669,,,,,,,,91.71704102,93.37634277,96.87711334,,,,,,
Highincome,95.88136292,,,,,,,,96.31173706,96.16464996,96.14691925,95.92075348,96.06700897,95.85224915,95.51394653,95.90287781,95.83973694,95.7647934,95.81111145,95.89402771,95.97904968,95.68499756,95.92999268,
"HongKongSAR,China",,,,,,,,,,,100,99.76569366,100,100,99.66786194,99.94425201,99.70184326,,99.56537628,99.90408325,99.91874695,99.47115326,99.58345795,
Honduras,,,,,,,,,,,,,,74.30908966,,,,,,70.50575256,59.82759857,72.8239212,77.21186829,
Heavilyindebtedpoorcountries(HIPC),56.03826141,54.33584976,56.92684555,58.47127151,60.24039841,61.65198135,64.06786346,63.24502945,64.57317352,64.9935379,64.83725739,67.61637115,70.24932098,71.98571777,74.05579376,75.40614319,73.03022766,74.72523499,74.46657562,75.4849472,75.29452515,75.75281525,,
Croatia,,,99.14788055,99.82048035,100,,99.46327209,99.71460724,100,99.84059906,100,,,100,100,99.22950745,98.76503754,99.38037872,99.75328064,99.58104706,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,98.82510376,98.78475952,98.45619202,98.69107056,99.98432922,100,99.72573853,99.6767807,99.30142975,99.20614624,99.22329712,99.6789093,99.63892365,100,,,99.46662903,99.64102173,99.6139679,
IBRDonly,79.25660706,80.55396271,80.59957886,83.59629822,86.11107635,85.59912109,86.82942963,88.04969025,88.7125473,90.27114868,91.84361267,90.56703186,90.6155014,92.07859039,93.61759186,94.17646027,94.49726868,94.85268402,95.449646,95.08948517,94.31989288,93.70892334,,
IDA&IBRDtotal,77.36244202,78.35485077,78.67253113,81.3041687,83.52671051,83.3041153,84.61443329,85.5973053,86.247612,87.68114471,88.86159515,88.03838348,88.15531158,89.43418121,90.59733582,90.96773529,90.81845856,91.27624512,91.39754486,91.3458786,90.43804932,90.18011475,,
IDAtotal,68.94200134,68.79680634,70.27958679,71.52798462,72.54882813,73.53252411,75.0682373,,,77.13585663,77.26320648,78.51741791,79.24880219,80.39031219,80.85616302,80.77487183,79.36476898,80.58885956,80.20674896,81.36486816,80.395401,81.18870544,,
IDAblend,,,,,,,,80.27744293,80.20788574,81.54953766,81.62512207,82.1362381,81.28885651,81.81394958,82.2728653,81.77937317,81.03921509,82.38337708,81.93601227,83.82568359,80.90492249,82.63902283,,
Indonesia,,,67.66937256,,,,,,,79.19007111,83.06549835,83.72158813,78.40142059,88.95903778,98.27549744,94.95002747,92.84101868,,96.35791016,96.2296524,91.775383,,95.7142334,
IDAonly,61.27894974,61.13566589,63.43094254,65.23003387,66.81003571,68.33286285,70.56800842,70.92755127,72.25431061,73.61205292,73.91932678,75.91368866,77.79891205,79.42603302,79.92705536,80.15966034,78.45746613,79.65376282,79.31521606,80.11461639,80.13333893,80.45953369,,
IsleofMan,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,89.73510742,88.40634918,90.96868134,93.20716858,,,,,,,,92.39498138,,,91.19937897,,
Notclassified,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,
"Iran,IslamicRep.",88.04615784,88.87538147,,,,,,,91.86817169,92.22898102,95.67546844,100,85.93791199,83.98940277,96.16436005,98.82814789,98.70233917,96.16294861,96.8702774,96.78846741,,,,
Iraq,,,,,,,,66.79382324,,,,,,,,,,,,,,,,
Iceland,,,,,,98.03707886,100,99.49111176,100,99.54808807,100,99.29418945,98.8583374,100,99.53536987,100,99.53914642,100,99.48526001,99.33097076,,,,
Israel,,,,,,,,,,99.78862,99.78047943,99.9474411,99.18305206,100,99.65052795,100,100,99.97128296,100,100,99.54676819,99.98139954,99.66918945,
Italy,,,95.18952942,100,99.240242,,,100,99.53929901,99.59848022,99.66007996,99.15693665,99.24304962,98.66960907,99.34581757,99.92327881,99.88638306,100,99.88256836,100,99.78574371,99.75424194,99.84551239,
Jamaica,,,,,,,,,95.99784088,,,,,,,,,98.68724823,96.80699158,,92.80741119,98.26068115,95.5716095,
Jordan,100,100,,,,,,98.54812622,,,99.21115875,98.94538116,99.11203003,98.15220642,99.32581329,99.98616791,,,99.07778931,,,100,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,97.82010651,99.22944641,99.44007874,99.42115021,100,99.95272827,99.98970795,99.93263245,99.90757751,99.82163239,99.92604828,99.99272919,100,99.84842682,99.93727112,
Kenya,,,,,,,,,,,,,,,,,,,,,,,99.31871796,
KyrgyzRepublic,,,,,,,,100,97.12522125,99.27187347,100,100,100,99.92417145,99.35514069,99.70188141,99.6668396,98.81506348,98.29374695,98.68702698,99.81495667,100,98.91793823,
Cambodia,,,,,,,72.88839722,,72.18740845,80.07785797,80.69113922,81.70317078,81.98388672,81.40239716,79.60449982,80.47318268,,82.83418274,82.41039276,82.05771637,81.3087616,83.68179321,83.40837097,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,
St.KittsandNevis,,,,,,,,,,,96.22641754,,,,,,,,,,,98.77919006,100,
"Korea,Rep.",,,99.22676086,,,99.76554108,99.7886734,99.65370941,99.30915833,99.2817688,99.45681763,98.22203064,98.68869019,98.62375641,98.49253845,99.93443298,99.98423004,,100,,99.62689972,99.56330872,99.50978851,
Kuwait,,,99.43139648,,,,93.99088287,98.0506897,99.51687622,99.58184052,100,98.30211639,98.10134125,,,,,99.54358673,,100,99.74221802,,,
