country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AntiguaandBarbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,69.02580106,69.53720521,69.90794249,70.22585526,71.37590318,72.59617509,72.90356816,73.30885262,73.80215082,74.26453551,75.50045829,76.48469436,76.89027479,78.11632328,77.82151645,78.99243245,79.6890979,80.17189572,80.70122551,81.25657263,80.98490712,81.63090171,81.94949401,82.16525455,82.57215541,82.58625952,82.57381646
Austria,61.93555666,62.47925959,64.24957957,65.17307948,68.32263529,68.34333269,68.53076865,69.25799442,69.61247818,69.95853602,70.31080343,71.55397922,73.05199629,73.90256197,75.2269098,76.10346602,76.91671836,76.72923821,77.99734383,79.58910922,79.62689073,79.98255117,80.71590604,81.79129357,82.74662024,82.88981352,82.99960951
Azerbaijan,76.10708049,76.15583088,76.31290305,76.88716822,77.76733289,78.54023632,78.65299279,78.64842934,78.59501066,78.72598225,81.01839012,83.15913371,85.23979346,87.26431511,89.24987203,91.2432002,93.29221126,95.40031211,90.02159533,90.24547882,91.69140057,90.97708459,90.58494926,90.4731063,90.6489548,90.53877902,90.36184453
Burundi,100.3670301,100.4268451,100.5190935,100.6401668,100.7852653,100.9484529,100.9856289,101.0289943,101.0729005,101.1865104,101.3814352,101.6380634,101.9162908,102.2352349,102.486205,102.7020737,102.8095118,102.8825726,102.9182013,102.9210042,102.8850083,102.8120678,102.7122502,102.5930361,102.4789643,102.391664,102.3131827
Belgium,59.84837279,61.85242443,63.44886561,65.1950141,65.50599933,66.05749426,66.42133212,67.48798603,68.51762712,70.45941512,70.93926772,69.23038806,71.07823388,72.23594809,73.46119242,74.52151761,75.40466576,76.30693044,77.24211679,77.88947543,78.60927309,78.91903818,78.97700799,80.13411235,81.21111957,81.35547415,81.55983883
Benin,64.02216521,64.11130936,64.31778424,65.86867777,67.47003322,69.12769648,70.86828902,72.6865381,74.58787352,76.57623874,78.65656877,80.81904373,83.07343423,84.58619449,86.06160793,87.48928834,88.88102417,90.21947325,91.50680261,92.76213545,93.98025613,94.37270371,94.67509523,94.99278533,95.35127344,95.33774139,95.3239731
BurkinaFaso,83.97633731,84.38061139,84.48452044,84.51492475,84.63156428,84.61776044,84.43516322,84.40507978,84.35145568,84.29336718,84.39936541,84.33463938,84.31264875,84.21377043,84.22447395,84.12303856,84.06827462,84.12700023,84.13614436,84.25351237,84.24344948,84.3515971,84.32566143,84.40906801,84.50357737,84.53596449,84.55627515
Bangladesh,69.82502007,70.04171273,68.60259737,67.17012769,65.74721511,64.33484245,62.95365821,62.9192922,62.92091069,62.961591,63.0521206,61.94123702,60.79765611,59.62129459,58.41786109,57.1966914,55.94260431,54.68723762,53.44063495,52.21207696,51.01178205,51.43118485,51.88708852,52.44385349,53.20298515,53.26187436,53.29302729
Bulgaria,87.47551773,88.10758476,88.75257889,87.94052067,86.99787137,85.89871861,84.75587828,83.46965436,82.10611371,80.62815742,79.04833472,82.21494312,82.29453878,80.12594363,80.48780488,79.07992286,80.40896407,80.11630674,78.76044693,78.63778315,79.85553364,80.99734016,81.42533709,81.43360512,80.98790911,80.82301054,80.76807994
Bahrain,31.81145715,33.09090162,33.829567,34.58701109,35.35995676,36.12438451,36.96010032,37.77710684,38.6184545,39.50591486,40.42880998,41.59217411,41.99566566,42.36906449,42.70358712,42.81435704,44.07744315,45.11239231,46.02357298,46.84336055,47.47990727,47.31951534,47.04860268,46.64323619,46.17189454,45.90277117,45.72701953
"Bahamas,The",81.62075842,81.81354568,82.07488264,82.37966444,82.72019664,83.62567732,84.85914165,86.51032763,88.71952466,88.30301755,87.9710442,87.67049146,87.43360813,87.24648028,87.10643855,87.00475506,86.9979746,87.02048423,87.07925552,87.17017619,87.64322925,87.70035316,87.80706394,87.82136373,87.74875931,87.73519194,87.72216235
BosniaandHerzegovina,54.38632831,54.01247717,53.7516561,53.63939343,53.62557925,53.97824275,54.74075198,54.88379853,54.9164946,54.91888166,54.8849034,54.85629912,54.79259535,54.69904492,54.57717221,54.44867188,54.26118747,52.95590798,54.34990827,55.90596043,58.07014831,59.22911589,58.49214964,59.21499156,59.19572694,59.3368174,59.51647273
Belarus,80.11497522,79.8792222,79.62013837,79.3743684,79.2181619,79.19922022,79.39193826,79.71186583,80.10313824,80.46468355,80.68545013,80.8890162,80.9686534,80.95058187,80.8774558,80.76952426,80.74969913,80.67956497,80.57357666,80.42592421,80.60030321,80.7703732,80.6448274,80.41925785,80.21566498,79.89768463,79.76021952
Belize,44.241431,44.07331228,44.09692176,44.02861002,43.84210323,43.91467698,44.26804939,45.53148322,46.78685558,48.03940618,49.29711747,50.58364478,51.88541939,53.19846078,54.51768044,55.83864885,57.18026161,58.54470411,59.93184918,61.34466606,62.77822666,64.17835135,65.55894572,66.31967459,67.11841678,67.28718285,67.45752842
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,60.55066636,61.79401291,63.04044749,64.28945224,65.53998727,66.78767002,69.56580242,72.29857416,72.40015874,72.55072746,72.75579948,73.12437754,73.49038997,73.85517352,74.22108634,74.58822214,75.06213296,75.58685017,76.14721662,76.7277527,75.9289193,75.20243018,75.92720396,76.56750217,77.30836919,77.38605751,77.46189067
Brazil,52.1152704,56.81179701,61.67326808,61.84167526,62.85007097,63.86624377,62.82515712,63.85038254,64.56707284,66.46230111,66.70501212,66.96478598,68.66782753,69.39027621,70.31192917,71.67050697,71.82708654,71.82891292,71.77673861,72.37724884,71.37120308,70.35936831,70.71010656,70.81971177,71.73119898,71.71676348,71.7137642
Barbados,78.9205226,80.44357803,80.46977198,81.19816438,81.89367932,82.30338182,85.82933455,83.60822046,83.73038757,83.38871436,83.62254818,83.93987372,83.14697505,84.54275249,84.83814978,85.10220955,85.37400447,85.61986868,85.85438771,86.09268182,86.91616627,86.99352651,85.90211233,88.17580156,88.09426894,88.17598642,88.24741393
BruneiDarussalam,54.72384029,56.50498236,57.91720107,59.35974367,60.83852644,62.36901687,63.74180125,65.16952112,66.67956086,68.23210854,69.76491171,71.04029636,71.05353548,71.01379002,70.88639857,70.68083829,70.50885518,70.49252104,70.52443205,70.50077091,70.40974555,70.1153795,69.55403132,68.75272056,67.74774684,67.63257561,67.52274115
Bhutan,63.35483914,61.94963606,61.04554642,60.49811347,60.01954576,59.45586966,60.6486468,61.91623614,63.3089718,65.02282468,67.14728523,71.35204407,75.43725996,78.99709995,81.8009374,83.89135569,84.98032803,85.79657003,86.38261332,86.93854594,85.67477335,84.86104502,93.60069403,80.10668022,80.60903855,80.68297919,80.79611172
Botswana,82.8743671,83.28036695,83.68074405,84.07438643,84.46107838,84.85748869,85.24391735,85.62174612,85.98913944,86.34800888,86.69860735,87.03339873,87.362151,87.68314123,87.99871247,88.30732532,88.56488478,88.73157734,89.00793732,89.68885315,89.75442111,89.8995666,90.09471673,90.21906823,90.37144314,90.32071359,90.26483358
CentralAfricanRepublic,79.68760937,79.78678913,80.22312095,80.45009355,80.51955117,80.48735637,80.86327763,80.87434727,80.8888095,80.92218987,81.15862373,81.13807423,81.12911353,81.45648609,81.39597115,81.55872366,81.53310787,81.5353656,81.72021567,81.76503417,81.9046793,82.17446127,82.43340614,84.33807671,84.69651846,84.76926492,84.8512493
