Turkey,6869,5993,9312,9961,10004,9674ee,10425,10649
Turkmenistan,3235,3854,6091,6877,7539,8199ee,8901,9359
Uganda,722,700,880,1231,1239,1244ee,1250,1266
Ukraine,3504,5438,6196,6353,6559,6557ee,6522,5791
UnitedArabEmirates,31293,32528,24738,24779,25778,26241ee,27042,27254
UnitedKingdom,24547,29321,25164,25456,25552,25598ee,25923,26311
UnitedStates,35422,38850,39858,40284,40838,41175ee,41709,42275
Uruguay,9028,9071,12413,13087,13598,14175ee,14580,14608
Uzbekistan,1633,2011,2935,3114,3284,3529ee,3730,3891
Vanuatu,2005,1838,2163,2156,2067,2187ee,2207,2139
Venezuela(BolivarianRepublicof),8879,11097,12396,12512,13036,13076ee,12453,11581
VietNam,2164,3065,3816,4014,4250,4451ee,4634,4835
Yemen,1423,1589,1793,1494,1498,1532ee,1497,1045
Zambia,1583,1786,2448,2577,2761,2772ee,2800,2803
Zimbabwe,1861,1301,1127,1209,1304,1328ee,1341,1360
