Norway,17.8,15.7,12.8,10,8.9,8.3hhhh,7.7hhhh,7.1hhhh,6.5hhhh,5.9hhh
Oman,93.9,72.9,43.5,21.1,13.6,12.5hhhh,11.4hhhh,10.3hhhh,9.2hhhh,8.1hhh
Pakistan,95.2,76.1,59.8,45.9,41.6,41.0hhhh,40.5hhhh,39.9hhhh,39.3hhhh,38.7hhh
"Palestine,Stateof",99.9,110.1,97.5,72,65.8,64.4hhhh,62.9hhhh,61.5hhhh,60.1hhhh,58.6hhh
Panama,102.6,92.5,94,85.9,81.9,80.5hhhh,79.0hhhh,77.5hhhh,76.0hhhh,74.5hhh
PapuaNewGuinea,79.6,68.6,68.2,65,61.3,60.0hhhh,58.7hhhh,57.4hhhh,56.1hhhh,54.8hhh
Paraguay,91.6,92.4,91.9,76.6,67.8,65.7hhhh,63.7hhhh,61.6hhhh,59.5hhhh,57.4hhh
Peru,72,70,70.5,61.5,54.7,53.6hhhh,52.4hhhh,51.3hhhh,50.2hhhh,49.1hhh
Philippines,50.1,51,49.1,53.9,54.1,55.6hhhh,57.1hhhh,58.7hhhh,60.2hhhh,61.7hhh
Poland,32.5,29.4,19,15.5,15.9,15.4hhhh,14.9hhhh,14.4hhhh,13.9hhhh,13.4hhh
Portugal,28,21.8,20.4,20.2,16.2,15.0hhhh,13.7hhhh,12.4hhhh,11.1hhhh,9.9hhh
Qatar,57.7,44,22.8,19,15.2,14.3hhhh,13.4hhhh,12.5hhhh,11.6hhhh,10.7hhh
Romania,59.5,48.2,40.8,37.2,39.1,38.2hhhh,37.3hhhh,36.4hhhh,35.5hhhh,34.6hhh
RussianFederation,49.2,51.8,35.1,27.6,29.3,28.1hhhh,26.9hhhh,25.8hhhh,24.6hhhh,23.4hhh
Rwanda,71.9,58.7,52.6,46.6,40.4,37.6hhhh,34.8hhhh,32.0hhhh,29.2hhhh,26.3hhh
SaintLucia,120.8,94.6,69.8,62,61.4,59.9hhhh,58.4hhhh,56.9hhhh,55.4hhhh,53.9hhh
SaintVincentandtheGrenadines,95.1,88,76.1,64.6,58.9,57.3hhhh,55.8hhhh,54.2hhhh,52.6hhhh,51.0hhh
Samoa,39.4,33.7,45.1,37,31.7,30.3hhhh,29.0hhhh,27.6hhhh,26.3hhhh,24.9hhh
SaoTomeandPrincipe,123.2,115.4,107.7,100.2,93,91.3hhhh,89.5hhhh,87.8hhhh,86.0hhhh,84.3hhh
SaudiArabia,84.7,59.9,37.2,20.7,12,11.4hhhh,10.7hhhh,10.1hhhh,9.5hhhh,8.8hhh
Senegal,146.9,125.6,111.9,104.5,95.7,92.3hhhh,88.9hhhh,85.4hhhh,82.0hhhh,78.6hhh
Serbia,46.2,36,30.8,25.6,21.9,21.3hhhh,20.7hhhh,20.2hhhh,19.6hhhh,19.0hhh
Seychelles,67.6,68.1,57.9,57.9,59.9,59.4hhhh,58.9hhhh,58.4hhhh,57.9hhhh,57.4hhh
SierraLeone,190.3,176.1,164.5,155.9,144.6,139.3hhhh,134.1hhhh,128.8hhhh,123.5hhhh,118.2hhh
Singapore,8,7.9,7.4,7.5,6,5.5hhhh,5.1hhhh,4.7hhhh,4.2hhhh,3.8hhh
Slovakia,51,45.4,27.2,20.7,20.7,20.6hhhh,20.5hhhh,20.4hhhh,20.3hhhh,20.2hhh
Slovenia,34.7,19.5,9.2,5.9,4.9,4.7hhhh,4.5hhhh,4.2hhhh,4.0hhhh,3.8hhh
SolomonIslands,98.9,84.8,71.1,70.1,62.6,59.8hhhh,56.9hhhh,54.1hhhh,51.3hhhh,48.4hhh
Somalia,76.7,101.7,126.6,126.9,127.2,122.5hhhh,117.9hhhh,113.2hhhh,108.6hhhh,103.9hhh
SouthAfrica,95.4,90.8,80.6,70.7,59.2,56.4hhhh,53.7hhhh,51.0hhhh,48.2hhhh,45.5hhh
